DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp_Total,SoM_Comp
Kosovo,PRISTINA,NTD Caps,Full Flavor,STD,100,1,7,14.285714000000
Spain,Murcia,Regular,Lights,STD,KS,2,9,41.666666500000
France DP,Paris Orly,Menthol,Full Flavor,STD,100,1,11,9.090909000000
South Africa,Cape Town,Regular,Full Flavor,SSL,100,1,11,9.090909000000
France DP,Toulouse,Menthol,Full Flavor,SSL,KS,1,4,25.000000000000
China,Chongqing Jiangbei,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
Morocco,Casablanca,Regular,Full Flavor,STD,100,1,28,3.637566500000
China,Dalian Zhoushuizi,Regular,Lights,STD,KS,1,20,10.000000000000
South Africa,Johannesburg,NTD Caps,Full Flavor,STD,KS,1,8,12.500000000000
Tunisia,Tunis,Regular,Lights,STD,KS,1,36,11.111111333333
Turkey,Adana Airport,Regular,Full Flavor,SSL,100,1,17,14.973262000000
Morocco,Ouarzazate,Menthol Caps,Full Flavor,STD,KS,1,15,6.666667000000
Russia,Moscow - Sheremetyevo,Regular,Full Flavor,SSL,100,1,3,66.666667000000
Great Britain,East Midlands,Menthol,Full Flavor,STD,KS,1,11,9.545454500000
South Korea,Seoul,NTD Caps,Full Flavor,SSL,100,1,56,17.857143000000
Switzerland,Zurich,Menthol,Full Flavor,SSL,100,1,24,24.166666500000
Spain,Alicante,Menthol,Full Flavor,STD,KS,1,19,6.203007500000
Kyrgyzstan,Manas,NTD Caps,Full Flavor,STD,KS,1,15,13.333333000000
Spain,Barcelona,NTD Caps,Full Flavor,STD,KS,1,16,6.250000000000
Spain DP,Sevilla,Menthol,Full Flavor,STD,KS,1,16,6.250000000000
Italy,Genoa,Regular,Lights,STD,KS,1,2,50.000000000000
China,Hefei Xinqiao,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
Canary Islands,Gran Canaria,Menthol,Full Flavor,SSL,100,1,6,16.666667000000
United Arab Emirates,Dubai,Regular,Full Flavor,SSL,100,4,26,29.393120666667
China,Fuzhou Changle,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
Italy,Treviso,Regular,Full Flavor,STD,KS,2,7,78.571428500000
China,Hangzhou Xiaoshan,Regular,Full Flavor,STD,100,1,20,5.000000000000
Greece,Chania,Regular,Full Flavor,STD,KS,4,12,67.777777750000
France,Strasbourg,Menthol,Full Flavor,STD,100,1,4,25.000000000000
France,Nice,Menthol,Full Flavor,STD,100,1,11,9.090909000000
Greece,Kos,Regular,Full Flavor,SSL,100,2,9,27.777777500000
China,Fuzhou Changle,Regular,Full Flavor,STD,100,1,20,5.000000000000
Mexico,Mexico City,NTD Caps,Full Flavor,STD,KS,2,24,20.416666500000
Poland,Krakow Balice,Regular,Lights,STD,KS,2,11,26.136363500000
South Korea,Incheon,NTD Caps,Full Flavor,STD,KS,3,56,22.125559666667
Austria,Vienna,Regular,Full Flavor,SSL,100,1,2,50.000000000000
Brazil,Brasilia,Regular,Full Flavor,STD,KS,3,14,75.952381000000
China,Beijing,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
China,Nanning Wuxu,Regular,Full Flavor,STD,100,2,19,8.187134500000
Greece,Santorini,Regular,Full Flavor,STD,KS,2,10,68.125000000000
Ecuador,Quito,Menthol,Full Flavor,SSL,100,1,12,8.333333000000
India,Bangalore,Regular,Full Flavor,STD,KS,4,14,57.326007200000
Macedonia,Skopje,NTD Caps,Full Flavor,STD,100,1,6,16.666667000000
Greece,Rhodes,Regular,Lights,STD,KS,2,12,15.555555666667
Netherlands,Eindhoven,Regular,Lights,STD,KS,1,4,29.166666500000
Italy,Ciampino Airport,Regular,Full Flavor,SLI,100,1,7,14.285714000000
Spain,Madrid Barajas,Regular,Full Flavor,STD,KS,4,19,55.807416500000
Switzerland,Geneva,Regular,Ultralights,STD,KS,1,28,3.571429000000
Spain DP,Ibiza,Regular,Full Flavor,SSL,100,1,8,25.000000000000
Morocco,Agadir,Regular,Full Flavor,SLI,100,1,25,4.000000000000
Russia,Moscow - Vnukovo,Regular,Full Flavor,STD,100,1,12,16.666667000000
Turkey,Ankara Airport,Regular,Full Flavor,SSL,KS,1,19,5.263158000000
Saudi Arabia,DAMMAM,Regular,Full Flavor,STD,100,1,16,6.250000000000
Jordan,Aqaba,Menthol,Full Flavor,STD,100,1,11,9.090909000000
Greece,Chania,Regular,Lights,STD,100,1,12,9.166666500000
Greece,Karpathos,Regular,Full Flavor,STD,KS,1,3,66.666666500000
Brazil,Natal,Regular,Full Flavor,SSL,100,1,12,8.333333000000
France DP,Marseille,Regular,Full Flavor,STD,100,1,8,12.500000000000
Mexico,Mexico City,Menthol,Full Flavor,SSL,100,1,24,4.583333500000
United Arab Emirates,Dubai,NTD Caps,Full Flavor,STD,KS,4,20,25.269608000000
Turkey,Istanbul Asia Airport,Regular,Full Flavor,STD,100,2,31,21.742773500000
Russia,Sochi,Regular,Full Flavor,STD,KS,3,11,67.676767666667
Spain DP,Almeria,Regular,Full Flavor,STD,KS,3,15,62.222222000000
Turkey,Bodrum Airport,Regular,Full Flavor,SSL,100,3,35,40.851648500000
Japan,Okayama,Menthol Caps,Full Flavor,STD,KS,1,16,6.250000000000
Morocco,Tangier,NTD Caps,Full Flavor,SSL,100,1,23,4.347826000000
Canary Islands,Fuerteventura,Regular,Lights,STD,KS,2,16,14.062500000000
France DP,Paris Charles De Gaulle,Regular,Lights,STD,KS,2,12,16.666667000000
El Salvador,San Salvador Comalapa,Menthol,Full Flavor,SSL,100,1,10,10.000000000000
Japan,Fukuoka,NTD Caps,Full Flavor,SSL,100,1,27,3.703704000000
China,Yanji Zhaoyangchuan,Regular,Full Flavor,STD,KS,4,20,84.000000000000
Russia,Astrakhan,Menthol,Full Flavor,STD,100,1,8,12.500000000000
Australia,Perth,Regular,Lights,STD,KS,3,15,29.393939333333
Australia,Perth,Regular,Full Flavor,STD,KS,2,15,63.939394000000
Gambia,Banjul,Regular,Lights,STD,100,1,4,25.000000000000
Turkey,Izmir Airport,NTD Caps,Full Flavor,STD,KS,2,37,13.280522000000
China,Kunming Wujiaba,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Great Britain,Bristol,Menthol,Full Flavor,STD,KS,1,13,8.391608500000
France DP,Lyon Saint Exupery,Regular,Full Flavor,STD,KS,3,11,65.909091000000
Spain DP,Alicante,Regular,Lights,STD,100,1,19,5.263158000000
Mexico,Guadalajara,Regular,Lights,STD,100,1,8,12.500000000000
Great Britain,London Heathrow,Regular,Full Flavor,SSL,100,1,2,100.000000000000
Nigeria,Lagos,Regular,Full Flavor,STD,KS,2,14,69.642857000000
Spain DP,Madrid Barajas,Regular,Ultralights,STD,KS,1,11,9.090909000000
Spain,Malaga,Regular,Lights,STD,KS,2,19,22.627924000000
China,Fuzhou Changle,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
Greece,Chania,Regular,Full Flavor,SSL,100,2,10,21.666666500000
Greece,Mykonos,Regular,Lights,STD,100,1,9,11.111111000000
Poland,Warsaw-Modlin,Regular,Lights,STD,KS,1,2,50.000000000000
Italy,Ciampino Airport,Regular,Full Flavor,STD,KS,2,7,54.761905000000
China,Mudanjiang Hailang,Regular,Full Flavor,STD,100,1,20,5.277778000000
France,Nantes,Regular,Full Flavor,STD,100,1,6,16.666667000000
Spain,Almeria,Regular,Ultralights,STD,KS,1,3,33.333333000000
Turkey,Antalya Airport,Regular,Full Flavor,SSL,100,3,31,32.589024000000
Japan,Fukuoka,Regular,Full Flavor,SSL,100,1,27,7.407407000000
China,Chongqing Jiangbei,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Great Britain,Exeter,Regular,Lights,STD,100,1,10,10.000000000000
Tunisia,Monastir,Menthol Caps,Full Flavor,STD,KS,1,27,4.483431000000
Jordan,Marka,Regular,Full Flavor,STD,KS,2,4,50.000000000000
Great Britain,London Stansted,Regular,Full Flavor,STD,KS,3,13,60.198135000000
China,Nanchang Changbei,Menthol,Full Flavor,SSL,100,1,3,33.333333000000
Greece,Mykonos,NTD Caps,Full Flavor,STD,KS,1,10,10.000000000000
Colombia,Bogota,Regular,Lights,STD,KS,2,14,17.142857000000
China,Yantai Penglai,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
Jordan,Amman,Regular,Full Flavor,STD,100,2,30,6.481955000000
China,Nanchang Changbei,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Macedonia,Ohrid,Regular,Full Flavor,SSL,100,1,11,18.181818000000
Mexico,Los Cabos,Menthol,Full Flavor,STD,100,1,11,9.090909000000
South Korea,Jeju,Regular,Full Flavor,SSL,100,2,56,15.259740000000
Aruba,Oranjestad,Regular,Lights,STD,100,1,10,10.000000000000
United Arab Emirates,Abu Dhabi,NTD Caps,Full Flavor,STD,100,1,18,5.555556000000
Belgium,Brussels,Regular,Lights,STD,KS,1,6,33.333333000000
Mexico,Mexico City,Regular,Full Flavor,STD,KS,3,24,59.679487333333
Caribbean Other,Basseterre (Saint Kitts),Menthol,Full Flavor,STD,KS,1,9,11.111111000000
Spain DP,Sevilla,Regular,Full Flavor,SSL,100,1,9,31.111111000000
Egypt,Cairo,Menthol,Full Flavor,STD,KS,1,12,8.333333000000
Latvia,Riga,Regular,Lights,STD,KS,2,5,70.000000000000
China,Harbin Taiping,Regular,Full Flavor,SSL,100,2,10,34.444444333333
Tunisia,Sfax,Menthol,Full Flavor,SSL,100,1,5,20.000000000000
China,Dalian Zhoushuizi,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Greece,Chania,Regular,Full Flavor,STD,100,1,10,10.000000000000
Brazil,Rio de Janeiro,Regular,Full Flavor,STD,KS,4,19,75.921052750000
Turkey,Gaziantep Airport,Regular,Full Flavor,SSL,KS,1,31,6.451613000000
Sweden,Gothenburg,Regular,Full Flavor,STD,KS,1,1,100.000000000000
France DP,Bordeaux,Regular,Full Flavor,SSL,100,1,5,40.000000000000
China,Taiyuan Wusu,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Great Britain,Newcastle,Regular,Lights,STD,100,1,11,9.090909000000
Poland,Krakow Balice,Regular,Full Flavor,SSL,100,1,11,9.090909000000
Great Britain,Southampton,Regular,Full Flavor,SSL,100,1,2,100.000000000000
Spain DP,Gerona,Regular,Full Flavor,STD,KS,3,17,63.985252000000
Mexico,Monterrey,Menthol,Full Flavor,SSL,100,1,11,10.795454500000
Greece,Skiathos,Regular,Lights,STD,KS,1,6,16.666667000000
Cape Verde,Praia,Regular,Lights,STD,KS,1,9,11.111111000000
Germany,Bremen,Regular,Full Flavor,STD,KS,2,5,76.666666666667
Morocco,Tangier,NTD Caps,Full Flavor,STD,KS,2,25,14.173913000000
Portugal,Madeira,Regular,Full Flavor,STD,KS,2,9,58.333333500000
China,Wenzhou Longwan,Menthol,Full Flavor,STD,KS,2,20,7.500000000000
Great Britain,Bournemouth,Regular,Full Flavor,STD,100,1,9,11.111111000000
Switzerland,Geneva,Menthol,Full Flavor,STD,KS,1,20,5.000000000000
China,Fuzhou Changle,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
China,Changchun Longjia,NTD Caps,Full Flavor,STD,KS,1,20,5.000000000000
China,Harbin Taiping,Regular,Lights,STD,KS,1,17,5.882353000000
Turkey,Antalya Airport,Menthol,Full Flavor,SSL,100,1,31,7.168458500000
Aruba,Oranjestad,Menthol,Full Flavor,STD,KS,2,18,9.444444500000
China,Yantai Penglai,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Spain DP,Murcia,Regular,Full Flavor,SSL,100,1,2,50.000000000000
Chile,Santiago Arturo Merino Benitez,Regular,Full Flavor,SSL,100,1,12,8.333333000000
Greece,Zakynthos,Menthol,Full Flavor,SSL,100,1,10,10.000000000000
Cape Verde,Rabil,Regular,Lights,STD,KS,1,6,16.666667000000
Brazil,Belo Horizonte,NTD Caps,Full Flavor,STD,KS,2,16,24.107143000000
Great Britain,Cardiff,Regular,Full Flavor,STD,100,1,10,10.000000000000
South Korea,Seoul,NTD Caps,Full Flavor,STD,KS,3,56,22.125559666667
Bulgaria,Varna,Regular,Full Flavor,SSL,100,1,9,50.793650500000
Turkey,Diyarbakir Airport,Regular,Full Flavor,STD,LONGER THAN KS,1,22,9.090909000000
Jordan,Aqaba,Regular,Full Flavor,STD,KS,2,16,58.901515000000
Japan,Osaka - Kansai,Regular,Full Flavor,SSL,KS,1,39,2.564103000000
Great Britain,London Luton,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000
Mexico,Puerto Vallarta,Regular,Full Flavor,SSL,100,2,16,10.817307500000
Spain,Ibiza,Regular,Full Flavor,SSL,100,1,8,25.000000000000
Russia,Volgograd,Regular,Full Flavor,STD,100,1,14,14.285714000000
Turkey,Ankara Airport,Regular,Full Flavor,SLI,KS,1,1,100.000000000000
Norway,Bergen,Menthol,Full Flavor,STD,KS,1,11,9.090909000000
Macedonia,Skopje,Regular,Full Flavor,STD,100,1,16,18.750000000000
Greece,Corfu,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000
Japan,Osaka - Kansai,Menthol,Full Flavor,SLI,100,1,60,3.333333000000
Italy,Milan - Malpensa,Regular,Full Flavor,SSL,100,1,5,20.000000000000
Russia,Astrakhan,Regular,Lights,STD,KS,1,8,12.500000000000
Sri Lanka,Colombo,NTD Caps,Full Flavor,STD,KS,1,11,18.181818000000
France,Toulouse,Menthol,Full Flavor,SSL,KS,1,4,25.000000000000
Italy,Palermo,Regular,Full Flavor,SSL,100,1,1,100.000000000000
China,Ningbo Lishe,Regular,Full Flavor,STD,100,1,20,5.000000000000
Jamaica,Montego Bay,Menthol,Full Flavor,STD,100,1,17,5.882353000000
Georgia,Tbilisi,Regular,Full Flavor,STD,100,1,8,12.500000000000
Turkey,Kayseri Airport,NTD Caps,Full Flavor,STD,KS,1,21,4.761905000000
China,Hangzhou Xiaoshan,Menthol,Full Flavor,SLI,100,1,2,50.000000000000
Spain DP,Sevilla,Regular,Ultralights,STD,KS,1,9,11.111111000000
Taiwan,Taipei - Taoyuan,Regular,Full Flavor,SSL,100,1,7,14.285714000000
Morocco,Casablanca,Regular,Lights,STD,100,1,29,3.509852500000
China,Yantai Penglai,Regular,Full Flavor,STD,100,1,20,5.000000000000
Kosovo,PRISTINA,Regular,Full Flavor,STD,100,1,21,14.285714000000
Portugal,Madeira,Regular,Lights,STD,KS,1,9,22.222222000000
France,Paris Orly,Regular,Full Flavor,SSL,100,1,6,33.333333000000
Morocco,Casablanca,Menthol Caps,Full Flavor,STD,KS,1,29,3.509852500000
Morocco,Agadir,Menthol,Full Flavor,STD,KS,2,28,4.948853666667
China,Weihai Dashuibo,NTD Caps,Full Flavor,STD,KS,1,18,5.555556000000
Brazil,Rio de Janeiro,Menthol,Full Flavor,SSL,100,1,19,5.756579000000
Macedonia,Ohrid,NTD Caps,Full Flavor,STD,100,1,6,16.666667000000
Germany,Dresden,Regular,Full Flavor,STD,KS,1,4,72.222222333333
Great Britain,Jersey,Regular,Full Flavor,STD,KS,1,2,75.000000000000
China,Wuhan Tianhe,NTD Caps,Full Flavor,SSL,100,1,3,33.333333000000
China,Yanji Zhaoyangchuan,Menthol,Full Flavor,STD,LONGER THAN KS,1,10,10.000000000000
Switzerland,Zurich,Regular,Full Flavor,STD,100,1,15,6.666667000000
Dominican Republic,La Romana,Regular,Full Flavor,SSL,100,1,9,15.555555500000
