DF_Market,Location,CR_BrandId,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC
Great Britain,Cardiff,122752,2746.526192425,4369.546598916,20426.208339129,2614.300192425,3852.737598916,18144.957339129
Morocco,Essaouira,147069,0,0,5181.299037648,0,0,4326.011037648
Poland,Olsztyn,125049,46003.114189328,8527.493572407,1980.791259298,42135.314189328,7032.436572407,1669.263259298
Egypt,Cairo,114698,0,-3927.604,354014.372,0,-10978.115,279399.509
China,Nanjing Lukou,121396,0,0,37860.992,0,0,31056.873
Morocco,Tangier,147069,0,0,27091.936983282,0,0,22338.451983282
China,Yantai Penglai,122771,0,11.507,0,0,1.059,0
Myanmar,Yangon,95587,0,15765.774,35060.816,0,13479.935,30070.74
Mexico,Ixtapa Zihuatanejo,114396,607.126,1028.76,1159.92,539.274,827.268,935.961
China,Yinchuan Hedong,110723,0,58.874,2377.6,0,47.039,1876.269
Turkey,Kutahya Airport,113756,547.183309673,0,0,505.429309673,0,0
Germany,Dresden,123063,0,0,188617.033621784,0,0,169173.573621784
Italy,Pisa,121004,0,0,0,0,0,0
China,Beijing,105444,0,-661.783,0,0,-798.461,0
Georgia,Tbilisi,121428,46109.464222281,30385.937649328,0,38763.474222281,24883.786649328,0
China,Xiamen Gaoqi,105617,-703.298,0,0,-874.812,0,0
China,Qingdao Liuting,105692,0,26.946,0,0,9.051,0
Bahrain,Manama,99273,0,49987.183,480239.231,0,39360.188,424163.989
Cayman Island,George Town,99962,0,294.408,0,0,264.393,0
Mauritania,Nouakchott,123639,0,0,32.147189217,0,0,21.718189217
Russia,Krasnoyarsk,121992,0,0,0,0,0,0
Turkey,Kutahya Airport,122589,0,5.11976972,24.282252218,0,4.36876972,20.684252218
Great Britain,London Gatwick,125415,0,1218.336153759,0,0,1053.932153759,0
Morocco,Rabat,137314,0,23331.895112162,0,0,19374.440112162,0
Cayman Island,George Town,114397,0,294.408,0,0,269.505,0
China,Shanghai Hongqiao,125149,0,0,0,0,0,0
China,Wuhan Tianhe,107719,215.924,0,0,194.036,0,0
Canary Islands,Fuerteventura,90229,0,0,0,0,0,0
Turkey,Cukurova Airport,118939,0,0,3644.38308995,0,0,3118.81908995
China,Yantai Penglai,121396,0,11.618,0,0,9.564,0
Ukraine,Odessa,98183,3795.51892344,0,0,3625.01892344,0,0
United Arab Emirates,Ras El Khaymah,137260,0,3094.161,0,0,2728.289,0
Tanzania,Zanzibar,125698,0,0,10520,0,0,8453
China,Changsha Huanghua,110726,0,-7.458,0,0,-8.766,0
Spain,Castellon,122499,0,0,1153.695395733,0,0,1009.591395733
China,Nanning Wuxu,110727,0,0,0,0,0,0
China,Nanchang Changbei,105696,0,0,0,0,0,0
Netherlands,Rotterdam,125752,0,133.017222019,0,0,119.770222019,0
Jordan,Amman,137263,0,0,9560.322,0,0,8105.154
Zambia,Lusaka,125840,0,0,2246.4,0,0,1750.272
Russia,Ekaterinburg,121992,0,0,0,0,0,0
China,Yantai Penglai,105459,0,112.159,0,0,89.097,0
China,Shandong,105441,0,0,0,0,0,0
Japan,Fukuoka,118635,8538.328509582,131037.269085326,160736.037261059,7738.022509582,116669.020085326,141212.813261059
France,Nice,122362,12126.810811116,30281.71138463,140241.955801937,10957.632811116,26867.07338463,127476.723801937
Turkey,Antalya Airport,123073,0,87355.733454054,810817.185057253,0,75449.541454054,713458.046057252
Barbados,Bridgetown,139305,0,12269.95,464560.863,0,10624.569,399089.547
Hong Kong,Hong Kong,114265,0,2355940.423,2376156.691,0,1783627.328,1697558.987
China,Xian Xianyang,144489,0,0,55058.041,0,0,42436.003
Turkey,Antalya Airport,137661,0,125654.470280855,601040.645756052,0,107813.772280855,515725.017756052
Laos,Vientiane,98204,8876.8,28548.537,149299.381,7554.554,23831.193,125828.087
Poland,Lublin,123059,313760.623964183,664625.517588866,2719365.28090918,273070.784964183,572194.961588866,2398645.95690918
Poland,Krakow Balice,124253,62432.793795844,266831.843139049,642607.389040744,53530.838795844,222466.028139049,553098.025040744
Italy,Pisa,125683,0,5805.900031525,85064.899669698,0,4261.791031525,72466.446669698
Brazil,Rio de Janeiro,90233,0,338.677,0,0,271.362,0
Switzerland,Geneva,147428,0,0,287711.405797296,0,0,252694.851797297
Tunisia,Sfax,142119,0,13226.560387026,221078.012869753,0,11241.220387026,184417.777869753
"Congo, Rep. Dem.",Kinshasa,124723,0,5.228,733.576,0,4.16,585.827
Spain,Almeria,123156,491.937049017,5487.011791531,12333.497507968,448.545049017,4495.682791531,10279.957507968
Turkey,Antalya Airport,125712,0,36821.082315213,3285758.38330372,0,30988.015315213,2783434.27030372
Russia,Kazan,121944,242.419378428,2487.206864928,9714.337714408,211.429378428,2097.959864928,8292.632714408
Saudi Arabia,Medina,139554,0,3018.707445058,164193.928102715,0,2632.580445058,146851.133102715
Italy,Milan - Malpensa,122501,117446.925640736,501213.910524663,1869774.04778413,108474.778640736,419799.324524663,1537153.18678413
Poland,Lodz,144363,0,0,36308.619457265,0,0,30224.025457265
Great Britain,London Luton,122752,6300.346418952,60562.984499572,312548.729708643,5666.450418952,53813.071499572,279785.579708643
Turkey,Istanbul Asia Airport,137291,19107.1420076,22400.530308388,36761.865977332,17979.7510076,19433.420308388,32156.676977332
Portugal,Porto,120957,20532.999916664,157214.587090949,818899.777584892,18452.904916664,138675.419090949,731617.398584892
Greece,Rhodes,121227,0,941.651601503,93596.571408951,0,740.281601503,74789.607408951
Egypt,Cairo,123649,172060.514,787100.121,2536210.397,134046.134,593302.037,2014202.924
Turkey,Istanbul Asia Airport,137513,0,211225.849164009,982931.932004124,0,176790.882164009,827341.036004124
Egypt,Cairo,147069,0,0,202161.972,0,0,164655.717
Costa Rica,San Jose,123626,5891.2,73569.447,139544.206,4853.726,58385.871,112839.092
Italy,Bologna,120995,0,0,0,0,0,0
Egypt,Alexandria,123648,0,2130.169,10982.581,0,1716.735,8758.628
Morocco,Casablanca,139320,0,21793.97564264,60301.899410899,0,18058.82664264,49951.206410899
Peru,Lima,125837,0,7888.035,308551.145,0,6576.632,254891.625
Canary Islands,La Palma,124962,11494.016916737,26329.926239641,98793.243323854,10463.816916737,20293.978239641,80859.161323854
Turkey,Antalya Airport,123491,355183.229937875,23803.721181595,617464.278795115,344260.765937875,20800.255181595,547288.199795115
Canary Islands,Lanzarote,124963,57571.078753491,278217.720593983,1053898.27826158,53416.436753491,229742.065593983,892681.282261578
Tunisia,Monastir,100604,119859.438070495,307602.634373382,29073.032957,100982.606070495,254298.611373382,24713.613957
Morocco,Casablanca,125143,19082.133151406,327299.660705172,134826.912729875,16257.296151406,275605.719705172,116207.230729875
United Arab Emirates,Sharjah,120075,188706.224,374009.416,1017966.871,181783.559,328047.779,900761.545
Turkey,Gaziantep Airport,118939,2014.96994479,7535.704776518,41921.574715296,1701.81194479,6426.716776518,34899.432715296
Turkey,Istanbul Asia Airport,114830,51217.208506768,158697.147925166,0,47782.844506768,134197.351925166,0
Germany,Munich,122367,83070.651109307,104668.555957852,242902.563187558,70829.425109307,88501.054957852,209109.645187558
Turkey,Diyarbakir Airport,122594,0,333.416779611,6092.285472737,0,228.344779611,4182.108472737
Mexico,Cozumel,139322,0,688.503,3210.733,0,563.891,2733.222
Guinea DF,Conakry,123412,7868,20506.208,79323.395,6650.14,16864.218,64951.671
France,Lille,122765,18605.815269523,34018.346770913,99331.008134301,16740.994269523,30641.913770913,90339.992134301
Kuwait,Kuwait,95277,56095.9919976,118595.444,0,45483.8509976,86974.605,0
Turkey,Konya Airport,124808,0,0,47.01370609,0,0,36.23970609
Japan,Oita,122955,0,0,14356.555086068,0,0,12465.716086068
Turkey,Istanbul Asia Airport,114639,92891.66752349,404093.481708493,0,85808.94252349,330741.650708493,0
Philippines,Mactan,,0,-24000,0,0,-24000,0
Turkey,Samsun Airport,42447,16720.552184122,31585.675223761,13962.214090319,14108.692184122,27368.392223761,11621.441090319
Switzerland,Zurich,105135,44462.081884636,0,0,39348.021884636,0,0
Poland,Katowice,125460,33265.826765204,342636.952654895,718863.826967624,29660.964765204,302898.745654895,645331.882967624
Suriname,Paramaribo,123648,0,8491.786,33483.46,0,7358.996,27754.322
Uganda,Entebbe,139305,0,4469.935,284458.473,0,3348.182,235215.458
Brazil,Belo Horizonte,125074,0,48.823,733.598,0,35.299,541.201
China,Hangzhou Xiaoshan,110716,1765.392,199324.773,1228636.781,1234.84,154564.616,950486.064
Mexico,Mazatlan,91751,1763.103,7618.672,0,1478.95,6446.373,0
Greece,Karpathos,125450,0,15.81632061,1760.837283269,0,13.06532061,1419.230283269
India,Indira Gandhi,139322,0,67559.974,153995.99,0,56057.599,129566.498
Norway,Alesund,121105,16305.230590065,30836.41696815,0,14959.102590065,28223.88196815,0
China,Kunming Wujiaba,109526,1793.996,9744.893,110138.005,1316.628,6845.776,76554.907
Spain,Reus,122496,40751.14748559,50807.56176842,407189.386431195,38004.00348559,43640.23076842,353626.831431195
Spain,Gerona,125681,0,504.582423257,39341.65978681,0,431.332423257,33729.13078681
Tunisia,Tunis,138538,0,17930.840941756,38287.001285101,0,12030.370941756,26033.139285101
Mexico,Puerto Vallarta,125625,0,851.634,0,0,711.605,0
Colombia,Cali,125837,0,17265.249,164793.52,0,14575.854,138296.498
Burundi,Bujumbura,139305,0,177.205,13215.061,0,143.601,10430.201
Turkey,Bodrum Airport,87048,40765.19163962,92008.273660856,3046.416810776,32893.25163962,74329.122660856,2486.539810776
Oman,Salalah,123486,26236.734,55796.925,419256.81,23230.358,48954.807,371710.997
United Arab Emirates,Ras El Khaymah,123034,281630.916,2061566.277,6642085.392,250137.058,1807927.138,5858768.241
Lebanon,Beirut - Rafik Hariri,123515,74719.71,916087.782,3807821.919,60533.38,718690.935,3042005.33
Egypt,Alexandria,123029,0,18096.69,41552.712,0,10992.288,25953.515
Turkey,Antalya Gazipasa Airport,122611,0,1998.338418728,33393.291631606,0,1635.662418728,27779.913631606
Djibouti,Djibouti,114699,6013.44,60039.81,23314.28,5011.316,48179.646,18853.221
China,Chengdu Shuangliu,144489,0,0,15388.647,0,0,12115.89
Italy,Naples,125684,0,2432.540839996,465043.09177157,0,1686.832839996,390873.39077157
Brazil,Recife,124032,0,0,1629.999,0,0,1258.437
Greece,Alexandoupolis,137296,0,1417.188894532,1698.87355859,0,1179.695894532,1410.97455859
Indonesia,Ngurah Rai,137393,0,0,250704.292,0,0,205419.019
Morocco,Casablanca,142484,0,0,9245.052817659,0,0,7837.978817659
China,Kunming Wujiaba,122771,0,10.284,0,0,-48.837,0
Jamaica,Kingston,125837,0,11100.483,147031.469,0,9479.911,124772.519
Ghana,Accra,139305,0,1549.581,258458.259,0,1001.318,204709.226
Cape Verde,Espargos,108146,3312,21888.991,0,2790.06,18108.49,0
India,Sardar Vallabh Bhai Patel,123518,0,0,17226.492,0,0,14546.867
Egypt,Asyut,123965,0,0,13467.224,0,0,8787.048
South Korea,Daegu,138183,0,25123.017,0,0,21558.231,0
Niger,Niamey,123645,913.9,782.337,960.531,716.95,495.055,744.551
Turkey,Trabzon Airport,123071,0,0,679.758558207,0,0,536.614558207
Greece,Santorini,120908,18417.835884642,4973.521652628,430.68652547,16780.683884642,4128.182652628,357.81852547
Oman,Muscat,123382,0,0,0,0,0,0
Russia,Makhachkala,121936,0,0,5217.576777803,0,0,4335.617777803
Bahrain,Manama,90234,25429.798,33182.957,0,22617.958,29351.766,0
China,Shenzhen Bao'an,122576,0,22.876,84.365,0,18.926,70.756
China,Chengdu Tianfu,105689,0,14749.321,82393.408,0,10254.743,56654.889
Brazil,Natal,125056,0,0,72.717,0,0,52.809
China,Dalian Zhoushuizi,122862,0,0,-1935.837,0,0,-1936.807
Ukraine,Kyiv - Zhulyany,98391,6576.843620931,0,0,5586.645620931,0,0
China,Harbin Taiping,122802,0,0,0,0,0,0
Germany,Memmingen,125052,4910.902921309,0,0,4441.156921309,0,0
China,Changchun Longjia,125150,0,92.859,0,0,73.722,0
Denmark,Copenhagen,120953,3012.628180276,0,0,2309.668180276,0,0
India,Goa,138525,0,-6.837,0,0,-34.368,0
Grenada,St. George's Point Saline,104732,0,232.5,0,0,191.578,0
Mexico,La Paz Manuel Marquez de Leon,122798,0,0,94.233,0,0,66.506
Iraq,Baghdad,122896,0,0,0,0,0,0
China,Xiamen Gaoqi,105442,0,83.206,0,0,61.334,0
China,Xian Xianyang,105442,0,38.594,0,0,28.448,0
Turkey,Diyarbakir Airport,100978,0,79.276309276,0,0,56.215309276,0
Belarus,Minsk,54963,56.562521313,0,0,37.470521313,0,0
China,Fuzhou Changle,125151,0,0,0,0,-0.03,0
Turkey,Hatay Airport,41603,0,0,0,0,0,0
China,Changchun Longjia,124464,0,118.838,0,0,94.351,0
Austria,Salzburg,120840,848.339354307,0,0,698.437354307,0,0
Turkey,Eskisehir Airport,122202,0,0,33.891323311,0,0,27.690323311
Turkey,Eskisehir Airport,114829,0,0,388.069491297,0,0,326.059491297
Canary Islands,Lanzarote,94007,0,0,0,0,0,0
Turkey,Hatay Airport,70907,0,36.802005462,0,0,27.592005462,0
Greece,Rhodes,124134,0,1812.84271225,388540.461950734,0,1444.62271225,301953.833950734
Colombia,Bogota,104357,168573.089,410026.57,0,134928.836,312022.204,0
Morocco,Oujda,147069,0,0,18040.979165707,0,0,14850.614165707
Italy,Venice,122502,22186.610995992,59671.73346066,176562.630789638,19539.564995992,51410.99546066,153050.691789638
Japan,Tokyo - Narita,113865,274054.253988977,2230314.51722299,1081832.01017113,246248.767988977,1968335.87122299,938724.883171129
Dominican Republic,Santo Domingo Las Americas,124032,0,11170.846,78207.146,0,8892.571,62650.696
Dominican Republic,Punta Cana - Higuey,139312,0,6495.374,131528.157,0,5661.048,111925.108
Japan,Tokyo - Narita,119098,19802.775429188,402218.004010454,895989.702918552,17808.967429188,355827.678010454,779874.092918552
Spain,Palma De Mallorca,123310,30569.698815867,75141.655954191,371818.037862343,27504.853815867,58430.779954191,300385.347862343
Aruba,Oranjestad,157067,0,1350.542,11811.374,0,1134.204,9941.342
Turkey,Izmir Airport,97289,3557.855856654,14401.824688606,70396.495955494,2818.689856654,10742.766688606,55050.062955494
Mexico,Mazatlan,125841,0,944.118,38829.576,0,785.018,32461.392
Morocco,Agadir,123409,0,0,11855.005540675,0,0,9971.373540675
Turkey,Antalya Airport,124802,0,27723.415176578,235571.512134121,0,23906.513176578,206252.289134121
Great Britain,Norwich,122749,2878.769395941,11237.203774189,30296.234538978,2687.390395941,9537.345774189,26054.293538978
Mexico,Monterrey,125074,0,540.392,5334.355,0,415.489,4194.093
Egypt,Aswan,139305,0,189.589,128661.825,0,151.317,107596.001
Jordan,Amman,123642,113745.502,270312.535,610423.166,103482.892,210594.863,488801.327
Greece,Kos,123331,0,4753.801449236,347041.968008402,0,3927.196449236,281630.919008402
Turkey,Kayseri Airport,124799,0,400.342070288,22493.822883188,0,353.097070288,19827.989883188
Spain,Asturias,122496,5746.086333504,26370.586460922,107274.906160305,5366.809333504,22582.967460922,92886.616160305
South Korea,Jeju,121949,39808.308,1571322.619,2815032.965,32695.78,1240918.79,2214242.794
Brazil,Rio de Janeiro,142119,0,16133.77,560011.897,0,11895.991,413827.825
China,Wuhan Tianhe,105695,3640.436,28273.269,52639.567,2757.328,20480.67,38156.249
Serbia,Nis,125610,0,51524.724610514,248360.745679823,0,41212.404610514,196870.172679823
India,Hyderabad,123409,18712.766,18363.119,108095.772,16625.494,16085.403,94641.795
Egypt,Sharm El Sheikh,123639,60723.1,124629.171,215394.721,50147.882,100814.586,175804.569
Panama,Panama Tocumen,123640,690,1980.707,6657.049,550.62,1570.29,5347.537
China,Shanghai Hongqiao,105442,0,11312.087,114825.416,0,8348.391,79120.535
Caribbean Other,Kralendijk (Bonaire),114360,36666.45,82345.008,32663.792,30412.304,66359.839,25972.521
Latvia,Riga,125453,0,168952.321744152,630086.678375254,0,145588.844744152,545940.989375254
Poland,Szczecin,123059,110539.328185648,393375.055034092,1175047.26404564,95760.414185648,338005.264034092,1032225.00204564
Mongolia,Ulaanbaatar,54963,560.640210741,859.287662944,998.134523034,421.260210741,633.867662944,740.083523034
Egypt,Hurgada,98012,1123805.286,1588992.817,378540.285,954672.37,1327033.318,317164.663
Poland,Krakow Balice,125817,70704.235889725,10566.198507671,7189.131817963,62530.807889725,8722.714507671,6058.476817963
Japan,Aomori,125146,0,0,3718.965770221,0,0,3242.211770221
Egypt,Alexandria,139319,0,0,4018.652,0,0,2664.896
Switzerland,Geneva,122170,246398.77358705,231353.697442361,23742.548878454,221222.16958705,198832.627442361,21135.733878454
China,Jinan Xiaoqiang,144126,0,0,2790.269,0,0,2212.079
France,Montpellier,121897,5944.983390131,12717.674820895,42205.815879975,5159.967390131,11096.635820895,37466.433879975
Colombia,Bogota,104519,20748.528,92733.551,7566,18853.886,75643.245,6396.618
Bahrain,Manama,114978,16152.646,290758.234,1414255.588,14388.488,255512.125,1256752.495
Colombia,Medellin Jose Maria Cordova,114359,6736.362,27139.166,4852.903,5739.772,22735.084,4056.9
Reunion,Roland Garros,137081,61950.610314309,256219.852507901,620529.321378086,57469.050314309,212140.268507901,536556.345378086
Oman,Muscat,120081,0,65525.986,99502.212,0,58783.348,89485.133
Egypt,Marsa Aalam,147069,0,0,24766.826,0,0,20582.07
Morocco,Agadir,139320,0,19760.597371645,42666.187287667,0,16392.522371645,35776.670287667
Spain DP,Ibiza,122429,33497.140673942,41373.058387429,215733.588385227,28310.165673942,28736.642387429,161773.103385227
Turkey,Antalya Airport,56640,870233.936963721,1137088.39081847,674523.251273726,787921.663963721,946946.621818471,572633.003273726
Belarus,Minsk,102850,303.375578219,3402.191197106,241.821630288,262.315578219,2898.870197106,206.265630288
China,Yanji Zhaoyangchuan,144126,0,0,8793.86,0,0,6985.375
Turkey,Istanbul Asia Airport,94156,154899.628760297,206696.165697667,49884.842629418,144676.560760297,174679.784697667,43017.491629418
Great Britain,Southampton,122750,3805.190985965,7560.015920531,33706.767218065,3518.123985965,6239.708920531,28202.338218065
Mexico,Ixtapa Zihuatanejo,139322,0,21.6,1159.458,0,18.199,987.456
France DP,Grenoble,122766,-1355.859554415,393.155734177,1557.245597109,-1383.696554415,279.270734177,1169.035597109
Mexico,Ixtapa Zihuatanejo,139307,0,372.24,10218.788,0,301.215,8321.337
Spain DP,Ibiza,125051,57275.038492861,40787.126612067,0,48856.146492861,29000.105612067,0
Caribbean Other,Basseterre (Saint Kitts),139312,0,109.89,614.774,0,92.114,514.609
Turkey,Izmir Airport,94142,338644.366468294,589891.804592386,158977.794696681,293263.422468294,507382.359592387,138234.344696681
Egypt,Sharm El Sheikh,122221,138841.212,91158.493,0,122240.036,79086.955,0
Italy,Verona,120998,19916.602922612,15046.30867885,0,18653.507922612,12670.83267885,0
Colombia,Medellin Jose Maria Cordova,139322,0,199.801,14767.041,0,160.919,12253.704
Spain,Reus,125679,0,8578.077383408,107300.643503519,0,7364.179383408,93076.742503519
India,Cochin,98261,16840.755606652,53430.442,127788.024,15839.537606652,45566.607,108957.375
Kosovo,PRISTINA,125607,0,68738.042776711,3649094.8233561,0,56555.116776711,3139310.0073561
Morocco,Rabat,58956,0,1685.883542741,4540.051004411,0,1293.000542741,3443.535004411
Greece,Thessaloniki,120925,8163.786735971,1560.209223692,630.773987903,7828.971735971,1050.949223692,435.158987903
India,Karipur,125836,0,0,14685.355,0,0,12337.964
Egypt,Alexandria,113635,131447.98,234713.592,66513.879,112080.524,196141.891,55540.691
France,Chambery,123635,0,0,90042.606880785,0,0,81189.937880785
Qatar,Doha,90234,138127.872,201235.638,0,123147.552,178153.208,0
China,Yingsheng,122862,0,3616.54,152859.319,0,2784.188,121023.893
Guinea DF,Conakry,142119,0,722.4,58372.611,0,575.998,45785.787
China,Shanghai Pudong,122771,0,89.56,0,0,-391.153,0
India,Netaji Subhash Chandra Bose Int. Airport,123515,0,0,8426.719,0,0,7365.765
Turkey,Samsun Airport,122611,0,648.607888974,6902.521760301,0,551.525888974,5605.075760301
South Africa,Johannesburg,123659,4004.574834374,273883.979545633,1380989.07771385,3336.490834374,217915.486545633,1086192.35771384
Tunisia,Jerba,58267,25882.364847411,117449.59655582,251659.453588404,21616.440847411,95947.85555582,213378.102588404
Oman,Muscat,107385,0,483816.87,819152.509,0,429313.364,730766.41
Ivory Coast,Abidjan,98238,14879.144953974,22281.507,0,11811.600953974,17368.055,0
Ukraine,Kyiv - Zhulyany,123067,13412.319347423,0,0,11352.395347423,0,0
China,Yantai Penglai,125149,0,123.785,6696.741,0,97.314,5262.402
Brazil,Florianopolis,125841,0,284.441,25137.687,0,207.532,18592.416
China,Wuxi Shuofang,105689,0,451.1,3520.412,0,304.968,2373.281
Turkey,Cukurova Airport,85805,0,0,2501.411055956,0,0,2169.104055956
Jordan,Marka,125783,0,0,1303.275,0,0,1113.309
Greece,Rhodes,122411,33811.534506261,19654.764873004,2804.546767824,30436.322506261,16111.396873004,2303.861767824
South Sudan,Juba,123639,0,1176,32394.296,0,837.24,23834.392
Egypt,Luxor,104944,0,59.707,0,0,41.042,0
China,Ningbo Lishe,110723,673.612,5754.517,0,554.366,4603.401,0
Turkey,Konya Airport,125709,0,0,244.053263689,0,0,193.521263689
Algeria,Algiers,101080,0,4087.699474878,0,0,3372.047474878,0
China,Yanji Zhaoyangchuan,124461,0,0,0,0,-2.739,0
Turkey,Trabzon Airport,92696,16.34443545,1458.734530683,0,12.96843545,1130.128530683,0
Great Britain,London Heathrow,125415,0,1755.669065405,0,0,1518.752065405,0
Turkey,Denizli Cardak Airport,123074,0,4.252449966,188.586242847,0,3.302449966,146.495242847
Saudi Arabia,DAMMAM,123643,0,0,128671.472222811,0,0,111614.834222811
Tunisia,Sfax,125312,0,2290.312914761,0,0,1856.205914761,0
Greece,Rhodes,120915,12429.78450871,6652.77116827,360.456778657,11316.31250871,5505.12016827,299.404778657
China,Shenyang Taoxian,105465,0,0,0,0,0,0
China,Guangzhou Baiyun,125151,0,-40.5,0,0,-100.926,0
Jordan,Aqaba,122120,0,3068.341,0,0,2488.158,0
Egypt,Alexandria,104950,226.256,0,0,184.292,0,0
Turkey,Cukurova Airport,125311,0,0,612.446190066,0,0,524.823190066
Tunisia,Tunis,147065,0,0,89497.784474418,0,0,72680.839474418
India,Netaji Subhash Chandra Bose Int. Airport,116065,806.004,1083.229,994.245,719.014,957.238,876.646
Laos,Vientiane,114637,2382.72,0,0,2027.802,0,0
Greece,Mitilini,120915,0,418.603353737,0,0,347.514353737,0
Mexico,Monterrey,125056,0,0,480.479,0,0,378.353
Turkey,Dalaman Airport,141876,0,0,33695.440925366,0,0,29717.596925366
Turkey,Trabzon Airport,123834,0,0,695.878009932,0,0,559.355009932
Oman,Salalah,98923,0,51758.212,0,0,45231.836,0
New Zealand,Queenstown,93157,11839.619384143,3784.754219157,0,11143.699384143,3547.706219157,0
Bahrain,Manama,98894,0,153160.341,0,0,134309.101,0
Dominican Republic,La Romana,90249,281.332,0,0,233.834,0,0
China,Shanghai Pudong,105693,0,-101.121,0,0,-353.199,0
China,Shanghai Hongqiao,122864,0,0,0,0,0,0
China,Xiamen Gaoqi,122782,0,-7.841,0,0,-48.422,0
Oman,Muscat,109139,0,-97.607,0,0,-980.777,0
Turkey,Eskisehir Airport,96532,0,0,148.02255619,0,0,123.21855619
Turkey,Hatay Airport,125176,0,33.031949212,0,0,25.741949212,0
Italy,Ciampino Airport,122502,9591.229834214,21698.9699515,103770.606415863,8356.669834214,18699.3609515,90026.755415863
Spain DP,Madrid Barajas,125681,0,4222.008622271,652458.841641773,0,2958.899622271,463048.342641773
United Arab Emirates,Abu Dhabi,123036,22154.264,768130.440463098,1665085.40496173,19896.004,680209.332463097,1479373.16996173
United Arab Emirates,Dubai,120063,0,602537.066,2925390.717,0,523122.099,2568179.725
Russia,Moscow - Vnukovo,122532,0,0,6986.11584363,0,0,3827.72784363
Georgia,Kutaisi,121437,0,2584.46398252,17358.065947061,0,2146.93998252,14597.196947061
United Arab Emirates,Dubai,120131,1043114.693,3819322.672,9546236.511,924004.5,3347660.378,8452223.381
United Arab Emirates,Dubai,123032,90.102,4046861.701,8679254.174,79.662,3527301.946,7524711.818
Morocco,Agadir,125312,0,56905.150504365,349653.560876665,0,47482.293504365,294256.524876665
Jamaica,Montego Bay,125840,0,18136.303,413991.973,0,14381.006,325574.494
Tunisia,Jerba,141875,0,93650.831131422,419857.812540576,0,79559.114131422,354857.029540576
Turkey,Istanbul Airport,59148,26378.878822949,62382.820289282,178304.344705201,21494.950822949,48434.261289282,146810.561705201
Lebanon,Beirut - Rafik Hariri,137314,61901.414,412959.04,2994476.27,50150.806,323764.628,2390059.896
France,Beauvais,121221,16010.518158109,31466.344525096,147333.255309086,14378.531158109,28386.998525096,135315.680309086
Kuwait,Kuwait,125312,0,197577.621,259963.814,0,168923.512,221720.275
Malaysia,Kuala Lumpur,99897,0,91600.429,810921.766,0,75804.839,677523.456
Ethiopia,Addis Ababa,139307,0,0,1340912.76,0,0,1028342.576
Japan,Tokyo - Narita,119100,84864.820038283,722755.968256108,1833939.65249253,76423.304038283,639358.308256108,1596774.38649253
Norway,Oslo,139549,0,40777.970797724,1104899.44049151,0,28161.499797724,980404.284491514
Morocco,Fes,139322,0,40893.912350575,132165.320208891,0,31880.247350575,104122.558208891
Norway,Bergen,141154,0,587.788286689,18032.225971493,0,167.172286689,15654.390971493
Rwanda,Kigali,139305,0,289.262,39976.826,0,237.378,31320.161
Brazil,Florianopolis,142119,0,333.96,14455.135,0,243.229,10479.19
Turkey,Kayseri Airport,123491,19221.319462271,7696.465490043,31397.302859543,18130.466462271,6764.528490043,27615.441859543
Brazil,Belo Horizonte,125084,0,460.597,7374.165,0,280.67,5772.831
Japan,Osaka - Kansai,121970,1135.98537494,10488.886115225,0,1007.23737494,9370.510115225,0
Morocco,Fes,124032,7198.454878347,22809.999660281,91224.687713017,5559.392878347,17679.622660281,71001.645713017
Mauritius,Port Louis,121521,578691.568572022,2291223.22009299,9092970.54854581,495585.776572022,1928810.44309299,7702379.86754581
Spain,Malaga,125681,0,2149.83853691,305342.664710608,0,1837.74553691,261722.008710608
Greece,Chania,124225,0,5807.78992855,58974.511186004,0,3593.01292855,42625.367186004
Turkey,Izmir Airport,118939,100032.992996899,277400.533232554,1108789.19948978,85742.274996899,235291.568232554,947384.720489783
Egypt,Cairo,141704,0,0,443221.512,0,0,378490.997
United Arab Emirates,Sharjah,120054,73940.433,262039.373,160609.929,68440.983,219305.487,136270.879
Zimbabwe,Harare,125837,0,583.896,193698.304,0,280.944,153108.99
Saudi Arabia,Jeddah,146275,0,0,394879.584119396,0,0,331121.283119396
Japan,Naha,114603,282.214222425,403.46896939,13702.464666304,250.898222425,352.18596939,11905.868666304
Jamaica,Montego Bay,114360,83750.368,302109.449,0,76829.444,246308.075,0
Brazil,Belo Horizonte,139307,0,1085.382,19081.023,0,769.729,13716.968
Mexico,Los Cabos,125840,0,27645.18,366374.056,0,22364.196,297878.667
Egypt,Asyut,125312,0,0,6126.191,0,0,5322.849
Kazakhstan,Aktau,114739,4631.333831353,1955.450266374,0,3970.203831353,1650.037266374,0
Spain DP,Vigo,123310,0,0,819.525554039,0,0,643.359554039
Turkey,Istanbul Asia Airport,124801,0,44203.613998899,1289021.42101546,0,39511.827998899,1126377.26101546
Saudi Arabia,DAMMAM,125327,0,127196.63030243,1311344.48309251,0,112173.77330243,1160502.06709251
Turkey,Kayseri Airport,122596,0,15623.863898827,148627.558999123,0,12283.015898827,121617.028999123
Mexico,Los Cabos,114397,14954.995,42138.961,116739.212,13937.212,35623.974,99457.097
Kazakhstan,Aktobe,98179,0,397.66967347,0,0,334.34067347,0
Turkey,Bodrum Airport,122596,0,25543.885552573,258661.897368175,0,20214.923552573,216032.546368175
