DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Albania,Tirana,Regular,Lights,STD,KS,5,81,6.172840000000
Serbia,Nis,Regular,Full Flavor,STD,KS,8,19,42.105263000000
Canary Islands,Fuerteventura,Regular,Lights,STD,100,1,42,2.380952000000
Greece,Athens,NTD Caps,Full Flavor,STD,KS,1,39,2.564103000000
Tanzania,Dar Es Salaam,Regular,Full Flavor,STD,KS,15,26,57.692308000000
Bahrain,Manama,Regular,Full Flavor,STD,KS,29,56,51.785714000000
Tunisia,Tozeur,Regular,Full Flavor,SSL,100,2,11,18.181818000000
China,Xuzhou Guanyin,Menthol,Full Flavor,SSL,100,1,70,1.428571000000
Japan,Chubu,Menthol,Full Flavor,STD,KS,8,106,7.547170000000
China,Zhengzhou Xinzheng,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Tunisia,Monastir,Regular,Full Flavor,STD,100,4,65,6.153846000000
China,Weihai Dashuibo,Regular,Full Flavor,STD,100,3,68,4.411765000000
Morocco,Marrakech,Regular,Full Flavor,SSL,100,6,84,7.142857000000
China,Taiyuan Wusu,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Nigeria,Lagos,Menthol,Full Flavor,SSL,100,2,29,6.896552000000
Ethiopia,Addis Ababa,Regular,Full Flavor,STD,100,5,74,6.756757000000
France DP,Paris Orly,Regular,Lights,STD,100,2,25,8.000000000000
Turkey,Trabzon Airport,Regular,Full Flavor,STD,KS,23,37,62.162162000000
France,Paris Charles De Gaulle,Regular,Lights,STD,KS,4,28,14.285714000000
Indonesia,Soekarno Hatta,Regular,Full Flavor,STD,KS,13,19,68.421053000000
Turkey,Bodrum Airport,Menthol,Full Flavor,STD,100,2,98,2.040816000000
China,Yantai Penglai,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Guatemala,Guatemala City,Regular,Full Flavor,STD,KS,10,19,52.631579000000
China,Fuzhou Changle,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Senegal,Leopold Sedar Senghar,Regular,Full Flavor,SSL,KS,1,30,3.333333000000
China,Nanchang Changbei,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Turkey,Bodrum Airport,NTD Caps,Full Flavor,SSL,100,2,98,2.040816000000
Italy,Treviso,Regular,Lights,STD,KS,2,9,22.222222000000
Gambia,Banjul,Regular,Lights,STD,KS,2,15,13.333333000000
France DP,Nice,Menthol,Full Flavor,STD,100,1,28,3.571429000000
Turkey,Gaziantep Airport,Regular,Lights,STD,KS,2,71,2.816901000000
Reunion,Roland Garros,Regular,Full Flavor,STD,KS,10,15,66.666667000000
China,Yinchuan Hedong,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Dominican Republic,La Romana,Regular,Full Flavor,SSL,100,2,15,13.333333000000
Serbia,Belgrade,Regular,Full Flavor,STD,100,2,30,6.666667000000
Tunisia,Monastir,Regular,Full Flavor,SSL,100,7,65,10.769231000000
Spain,Mahon Airport,Regular,Lights,STD,100,1,38,2.631579000000
Italy,Torino,Regular,Full Flavor,STD,KS,1,3,33.333333000000
Tunisia,Jerba,Menthol,Full Flavor,SSL,100,3,63,4.761905000000
Turkey,Cukurova Airport,NTD Caps,Full Flavor,STD,KS,3,65,4.615385000000
Italy,Milan - Malpensa,Menthol,Full Flavor,SSL,KS,1,26,3.846154000000
United Arab Emirates,Dubai,Menthol Caps,Full Flavor,STD,KS,1,109,0.917431000000
Mexico,Cancun,Regular,Lights,STD,KS,5,60,8.333333000000
Portugal,Madeira,Regular,Lights,STD,100,1,15,6.666667000000
Poland,Olsztyn,Regular,Lights,STD,KS,2,7,28.571429000000
Great Britain,London Gatwick,Regular,Full Flavor,SSL,100,2,31,6.451613000000
France,Paris Orly,Regular,Full Flavor,STD,100,1,25,4.000000000000
Bulgaria,Sofia,Regular,Full Flavor,STD,KS,11,32,34.375000000000
South Korea,Yangyang,Regular,Lights,SSL,100,1,43,2.325581000000
Brazil,Fortaleza,Regular,Lights,STD,KS,2,17,11.764706000000
Germany,Cologne,Regular,Lights,STD,KS,2,19,10.526316000000
Gambia,Banjul,Regular,Full Flavor,STD,100,1,15,6.666667000000
China,Fuzhou Changle,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Albania,Tirana,Regular,Ultralights,STD,KS,1,81,1.234568000000
Sweden,Malmo,Regular,Lights,STD,KS,1,10,10.000000000000
China,Dalian Zhoushuizi,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Austria,Graz,Regular,Full Flavor,STD,KS,8,12,66.666667000000
China,Changsha Huanghua,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Spain DP,Vigo,Regular,Lights,STD,KS,2,8,25.000000000000
China,Chongqing Jiangbei,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
France DP,Tarbes - Lourdes,Regular,Full Flavor,STD,100,1,9,11.111111000000
Nigeria,Lagos,Regular,Ultralights,STD,KS,1,29,3.448276000000
China,Wuhan Tianhe,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Morocco,Ouarzazate,Menthol,Full Flavor,STD,KS,2,46,4.347826000000
China,Chongqing Jiangbei,Regular,Lights,STD,KS,2,73,2.739726000000
Taiwan,Everrich Downtown Kinmen,Menthol Caps,Full Flavor,STD,KS,1,27,3.703704000000
South Korea,Daegu,Menthol Caps,Full Flavor,SSL,100,1,80,1.250000000000
United Arab Emirates,Dubai,Regular,Full Flavor,STD,100,3,109,2.752294000000
Spain,Barcelona,Regular,Full Flavor,STD,KS,32,50,64.000000000000
Bahrain,Manama,Regular,Full Flavor,SSL,KS,1,56,1.785714000000
Mexico,Cancun,Regular,Ultralights,STD,KS,1,60,1.666667000000
Spain,Bilbao,Regular,Ultralights,STD,KS,1,23,4.347826000000
Norway,Bergen,Regular,Lights,STD,KS,1,18,5.555556000000
France DP,Tarbes - Lourdes,Regular,Lights,STD,100,1,9,11.111111000000
Saudi Arabia,Medina,Regular,Full Flavor,STD,KS,20,37,54.054054000000
South Korea,Cheongju,Regular,Full Flavor,SSL,100,12,78,15.384615000000
China,Wuhan Tianhe,Regular,Lights,STD,KS,2,73,2.739726000000
Austria,Salzburg,Regular,Lights,STD,KS,2,10,20.000000000000
Saudi Arabia,DAMMAM,Regular,Lights,STD,KS,7,37,18.918919000000
Morocco,Fes,Regular,Lights,STD,KS,5,67,7.462687000000
Taiwan,Taipei - Taoyuan,Regular,Full Flavor,STD,KS,15,27,55.555556000000
Mexico,Mexico City,Regular,Full Flavor,SSL,100,3,57,5.263158000000
China,Nanchang Changbei,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
China,Beijing,NTD Caps,Full Flavor,SSL,100,1,71,1.408451000000
Italy,Rome Fiumicino,Regular,Full Flavor,STD,KS,15,22,68.181818000000
Saudi Arabia,RIYADH,Menthol,Full Flavor,SSL,100,1,41,2.439024000000
Canary Islands,Lanzarote,Regular,Lights,STD,100,1,42,2.380952000000
Great Britain,London Stansted,Menthol,Full Flavor,STD,KS,2,30,6.666667000000
Taiwan,Taipei - Taoyuan,NTD Caps,Full Flavor,STD,KS,1,27,3.703704000000
Switzerland,Geneva,Regular,Full Flavor,SSL,100,3,64,4.687500000000
Nigeria,Lagos,Menthol,Full Flavor,STD,KS,2,29,6.896552000000
Great Britain,Edinburgh,Menthol,Full Flavor,STD,KS,2,30,6.666667000000
Brazil,Florianopolis,Regular,Full Flavor,STD,KS,15,26,57.692308000000
Russia,Volgograd,Regular,Lights,STD,100,1,18,5.555556000000
United Arab Emirates,Sharjah,Regular,Ultralights,STD,KS,1,61,1.639344000000
Brazil,Rio de Janeiro,NTD Caps,Full Flavor,STD,KS,7,46,15.217391000000
Kazakhstan,Astana,Regular,Full Flavor,STD,KS,11,17,64.705882000000
Macedonia,Ohrid,Regular,Lights,STD,KS,3,23,13.043478000000
Czech Republic,Prague,Regular,Lights,STD,KS,2,9,22.222222000000
Mongolia,Ulaanbaatar,Regular,Full Flavor,STD,KS,29,49,59.183673000000
Taiwan,Kaohsiung,Menthol,Full Flavor,SSL,100,3,27,11.111111000000
France DP,Bordeaux,Regular,Full Flavor,STD,KS,10,17,58.823529000000
Turkey,Cukurova Airport,Regular,Full Flavor,SSL,100,12,65,18.461538000000
Brazil,Viracopos,Menthol,Full Flavor,SSL,100,2,36,5.555556000000
Mongolia,Ulaanbaatar,Regular,Full Flavor,SLI,100,1,49,2.040816000000
Mongolia,Ulaanbaatar,NTD Caps,Full Flavor,SSL,100,4,49,8.163265000000
Greece,Skiathos,Regular,Lights,STD,100,1,16,6.250000000000
Portugal,Faro Airport,NTD Caps,Full Flavor,SSL,100,1,16,6.250000000000
Turkey,Denizli Cardak Airport,Regular,Full Flavor,SLI,KS,1,23,4.347826000000
Spain,Sevilla,Regular,Lights,STD,100,1,42,2.380952000000
Hong Kong,Hong Kong,Regular,Lights,SSL,100,1,42,2.380952000000
Brazil,Recife,Menthol,Full Flavor,SSL,100,2,29,6.896552000000
Russia,Sochi,Regular,Full Flavor,STD,100,3,19,15.789474000000
United Arab Emirates,Dubai,NTD Caps,Full Flavor,SLI,100,2,109,1.834862000000
Russia,Moscow - Vnukovo,Menthol,Full Flavor,STD,100,1,18,5.555556000000
Nigeria,Abuja,Regular,Lights,STD,KS,2,23,8.695652000000
Malaysia,Johor Bahru,Menthol,Full Flavor,STD,KS,2,13,15.384615000000
Dominican Republic,Punta Cana - Higuey,Regular,Lights,STD,100,1,66,1.515152000000
Netherlands,Amsterdam - Schiphol,Regular,Full Flavor,STD,KS,9,12,75.000000000000
Great Britain,Liverpool,Regular,Full Flavor,STD,KS,15,25,60.000000000000
Ivory Coast,Abidjan,Regular,Full Flavor,STD,KS,19,34,55.882353000000
Great Britain,London Southend Airport,Menthol,Full Flavor,STD,KS,2,20,10.000000000000
Denmark,Copenhagen,NTD Caps,Full Flavor,STD,KS,1,10,10.000000000000
South Korea,Daegu,Menthol Caps,Full Flavor,STD,KS,2,80,2.500000000000
France DP,Nantes,Menthol,Full Flavor,STD,100,1,22,4.545455000000
China,Kunming Wujiaba,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Morocco,Oujda,Regular,Full Flavor,STD,100,1,63,1.587302000000
Great Britain,Birmingham,Regular,Full Flavor,STD,KS,17,32,53.125000000000
Hong Kong,Hong Kong,Menthol,Full Flavor,SLI,100,2,42,4.761905000000
South Korea,Cheongju,Menthol Caps,Full Flavor,STD,KS,1,78,1.282051000000
Turkey,Diyarbakir Airport,Regular,Full Flavor,SLI,KS,2,82,2.439024000000
Brazil,Sao Paulo - Guarulhos,Regular,Lights,STD,KS,2,39,5.128205000000
Poland,Warsaw,Regular,Full Flavor,STD,100,1,22,4.545455000000
China,Sanya Fenghuang,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Australia,Perth,Menthol,Full Flavor,STD,100,1,28,3.571429000000
China,Xian Xianyang,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
China,Kunming Wujiaba,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Switzerland,Geneva,Menthol,Full Flavor,SSL,100,2,64,3.125000000000
Turkey,Antalya Airport,Regular,Lights,STD,KS,9,104,8.653846000000
Japan,Fukuoka,Menthol,Full Flavor,SLI,100,2,86,2.325581000000
Spain,Almeria,Regular,Lights,STD,KS,5,27,18.518519000000
Hong Kong,Hong Kong,Regular,Full Flavor,STD,KS,26,42,61.904762000000
China,Nanchang Changbei,Regular,Lights,STD,KS,2,73,2.739726000000
China,Shenyang Taoxian,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Switzerland,Zurich,Menthol Caps,Full Flavor,SSL,100,1,68,1.470588000000
Turkey,Cukurova Airport,NTD Caps,Full Flavor,SSL,100,1,65,1.538462000000
China,Shanghai Hongqiao,Menthol,Full Flavor,SSL,100,1,71,1.408451000000
Spain,Madrid Barajas,Regular,Full Flavor,SSL,100,4,51,7.843137000000
Taiwan,Taichung,Regular,Full Flavor,STD,KS,15,27,55.555556000000
France DP,Paris Orly,Regular,Full Flavor,SSL,100,2,25,8.000000000000
Cambodia,Sihanoukville,Menthol Caps,Full Flavor,STD,KS,1,29,3.448276000000
Switzerland,Zurich,Regular,Full Flavor,STD,100,1,68,1.470588000000
Great Britain,Birmingham,Regular,Ultralights,STD,KS,1,32,3.125000000000
China,Chengdu Tianfu,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Georgia,Kutaisi,Regular,Lights,STD,100,1,13,7.692308000000
China,Weihai Dashuibo,Menthol,Full Flavor,STD,KS,3,68,4.411765000000
Mexico,Los Cabos,Regular,Lights,STD,KS,3,48,6.250000000000
Great Britain,Liverpool,Regular,Lights,STD,KS,4,25,16.000000000000
Great Britain,Bristol,NTD Caps,Full Flavor,STD,KS,1,29,3.448276000000
South Korea,Cheongju,Regular,Full Flavor,SLI,100,1,78,1.282051000000
Tunisia,Enfidha,Regular,Full Flavor,STD,KS,25,50,50.000000000000
Canary Islands,La Palma,Menthol,Full Flavor,STD,KS,2,41,4.878049000000
Macau,Macau,Menthol,Full Flavor,SSL,100,1,24,4.166667000000
Taiwan,Everrich Downtown Kinmen,Regular,Full Flavor,SSL,100,1,27,3.703704000000
Canary Islands,Gran Canaria,Regular,Lights,STD,KS,5,42,11.904762000000
Morocco,Rabat,Regular,Ultralights,STD,KS,1,72,1.388889000000
Albania,Tirana,Regular,Full Flavor,STD,100,9,81,11.111111000000
Japan,Tokyo - Narita,Menthol,Full Flavor,STD,KS,9,88,10.227273000000
China,Wuxi Shuofang,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Germany,Frankfurt,Regular,Full Flavor,STD,KS,28,34,82.352941000000
China,Yanji Zhaoyangchuan,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Bosnia-Herzegovinia,Banja Luka,Regular,Full Flavor,SLI,100,1,14,7.142857000000
China,Hangzhou Xiaoshan,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Dominican Republic,Santiago Cibao,NTD Caps,Full Flavor,STD,KS,1,9,11.111111000000
Greece,Kos,Regular,Lights,STD,100,1,29,3.448276000000
Saudi Arabia,Jeddah,Regular,Full Flavor,SSL,KS,1,36,2.777778000000
Tunisia,Tunis,NTD Caps,Full Flavor,SSL,100,2,68,2.941176000000
Armenia,Yerevan,Regular,Full Flavor,STD,100,2,35,5.714286000000
France,Tarbes - Lourdes,Regular,Lights,STD,KS,2,9,22.222222000000
France,Grenoble,Regular,Full Flavor,SSL,100,2,14,14.285714000000
Italy,Torino,Regular,Lights,STD,KS,1,3,33.333333000000
Turkey,Denizli Cardak Airport,Menthol Caps,Full Flavor,STD,KS,1,23,4.347826000000
China,Guangzhou Baiyun,Regular,Lights,STD,KS,2,73,2.739726000000
Spain DP,Madrid Barajas,Menthol,Full Flavor,STD,KS,2,51,3.921569000000
France,Nice,Regular,Lights,STD,100,2,28,7.142857000000
Kyrgyzstan,Manas,Regular,Full Flavor,STD,100,4,56,7.142857000000
Cape Verde,Espargos,Regular,Lights,STD,100,1,39,2.564103000000
Spain,Santiago De Compostela,Regular,Full Flavor,SSL,100,2,23,8.695652000000
Spain,Vigo,Regular,Lights,STD,KS,2,10,20.000000000000
Vietnam,Phu Quok,Regular,Full Flavor,STD,KS,14,14,100.000000000000
Russia,Min Vody,Menthol,Full Flavor,SSL,100,1,15,6.666667000000
Macau,Macau,Menthol,Full Flavor,STD,KS,4,24,16.666667000000
Great Britain,Bournemouth,Menthol,Full Flavor,STD,KS,2,19,10.526316000000
Czech Republic,Prague,Regular,Lights,STD,100,1,9,11.111111000000
Japan,Okayama,Regular,Full Flavor,STD,KS,6,16,37.500000000000
Tunisia,Jerba,NTD Caps,Full Flavor,SSL,100,2,63,3.174603000000
Portugal,Lisbon,NTD Caps,Full Flavor,SSL,100,1,16,6.250000000000
Ivory Coast,Abidjan,Regular,Full Flavor,SLI,100,1,34,2.941176000000
Morocco,Agadir,Regular,Full Flavor,STD,100,1,82,1.219512000000
Turkey,Istanbul Asia Airport,Menthol,Full Flavor,SSL,100,2,102,1.960784000000
Italy,Ciampino Airport,Regular,Full Flavor,SSL,100,1,11,9.090909000000
Turkey,Eskisehir Airport,Regular,Full Flavor,STD,LONGER THAN KS,1,26,3.846154000000
France DP,Paris Charles De Gaulle,Regular,Full Flavor,STD,100,1,28,3.571429000000
Cape Verde,Praia,Regular,Full Flavor,STD,KS,15,22,68.181818000000
Morocco,Rabat,Regular,Lights,STD,100,1,72,1.388889000000
Jordan,Amman,Regular,Full Flavor,STD,KS,36,69,52.173913000000
Great Britain,East Midlands,Regular,Full Flavor,STD,KS,14,26,53.846154000000
United Arab Emirates,Dubai,Regular,Lights,STD,KS,9,109,8.256881000000
China,Dalian Zhoushuizi,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
India,Bangalore,Regular,Lights,STD,KS,6,49,12.244898000000
China,Chengdu Tianfu,Regular,Full Flavor,STD,100,2,73,2.739726000000
Morocco,Rabat,Regular,Full Flavor,STD,KS,38,72,52.777778000000
Turkey,Istanbul Asia Airport,NTD Caps,Full Flavor,SSL,100,6,102,5.882353000000
Japan,Tokyo - Narita,NTD Caps,Full Flavor,STD,KS,8,88,9.090909000000
South Korea,Busan - Kimhae,Regular,Full Flavor,SLI,100,1,93,1.075269000000
Morocco,Oujda,Regular,Full Flavor,SSL,KS,1,63,1.587302000000
China,Changsha Huanghua,Regular,Full Flavor,STD,100,2,73,2.739726000000
Kyrgyzstan,Manas,Regular,Full Flavor,SLI,100,1,56,1.785714000000
China,Qingdao Liuting,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Russia,Moscow - Vnukovo,Regular,Full Flavor,SSL,100,1,18,5.555556000000
Saudi Arabia,RIYADH,Menthol Caps,Full Flavor,STD,KS,1,41,2.439024000000
Spain DP,Santiago De Compostela,Regular,Lights,STD,KS,4,23,17.391304000000
Spain DP,Malaga,Regular,Lights,STD,KS,9,49,18.367347000000
South Korea,Daegu,Regular,Lights,STD,KS,1,80,1.250000000000
China,Chengdu Tianfu,Regular,Full Flavor,SSL,100,4,73,5.479452000000
South Korea,Incheon,Menthol Caps,Full Flavor,STD,KS,2,94,2.127660000000
China,Xian Xianyang,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Canary Islands,Gran Canaria,Menthol,Full Flavor,SSL,KS,1,42,2.380952000000
Croatia,Zagreb,Regular,Lights,STD,100,1,3,33.333333000000
Nicaragua,Managua,Regular,Full Flavor,SSL,100,2,7,28.571429000000
China,Guangzhou Baiyun,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Mexico,Cancun,Regular,Full Flavor,SSL,100,3,60,5.000000000000
Indonesia,Ngurah Rai,Regular,Full Flavor,STD,100,1,73,1.369863000000
Kazakhstan,Astana,Menthol,Full Flavor,SSL,100,1,17,5.882353000000
United Arab Emirates,Sharjah,NTD Caps,Full Flavor,SSL,100,1,61,1.639344000000
France,Paris Orly,Regular,Lights,STD,KS,3,25,12.000000000000
Greece,Zakynthos,Regular,Lights,STD,KS,4,35,11.428571000000
Brazil,Belo Horizonte,Regular,Lights,STD,KS,2,33,6.060606000000
Mexico,Puerto Vallarta,Menthol,Full Flavor,STD,100,1,40,2.500000000000
United Arab Emirates,Sharjah,Menthol,Full Flavor,SLI,100,1,61,1.639344000000
Malaysia,Penang,Regular,Full Flavor,STD,KS,5,7,71.428571000000
China,Xian Xianyang,Regular,Full Flavor,SSL,100,4,73,5.479452000000
China,Hefei Xinqiao,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
United Arab Emirates,Dubai,Regular,Lights,SSL,100,1,109,0.917431000000
Indonesia,Ngurah Rai,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Tunisia,Tozeur,NTD Caps,Full Flavor,STD,KS,1,11,9.090909000000
Macedonia,Skopje,Regular,Full Flavor,SSL,100,4,33,12.121212000000
Switzerland,Geneva,Regular,Full Flavor,STD,KS,39,64,60.937500000000
Malaysia,Kuala Lumpur,NTD Caps,Full Flavor,STD,KS,4,25,16.000000000000
Poland,Lodz,Regular,Full Flavor,STD,KS,5,7,71.428571000000
France,Strasbourg,Regular,Full Flavor,STD,KS,2,4,50.000000000000
Italy,Palermo,Regular,Lights,STD,100,1,10,10.000000000000
Great Britain,Southampton,Regular,Lights,STD,100,1,27,3.703704000000
Dominican Republic,Punta Cana - Higuey,Regular,Full Flavor,STD,KS,38,66,57.575758000000
Russia,Sochi,Regular,Lights,STD,KS,3,19,15.789474000000
France,Marseille,Menthol,Full Flavor,STD,100,1,27,3.703704000000
France DP,Paris Orly,Regular,Lights,STD,KS,3,25,12.000000000000
Taiwan,Everrich Downtown Kinmen,Regular,Full Flavor,STD,KS,15,27,55.555556000000
Brazil,Natal,Regular,Lights,STD,KS,1,25,4.000000000000
Great Britain,Norwich,Regular,Ultralights,STD,KS,1,17,5.882353000000
Grenada,St. George's Point Saline,Regular,Lights,STD,KS,1,25,4.000000000000
Turkey,Adana Airport,Regular,Full Flavor,SLI,100,2,33,6.060606000000
Great Britain,Liverpool,NTD Caps,Full Flavor,STD,KS,1,25,4.000000000000
Turkey,Trabzon Airport,Menthol,Full Flavor,SSL,100,2,37,5.405405000000
Canary Islands,La Palma,Menthol,Full Flavor,SSL,KS,1,41,2.439024000000
Great Britain,Manchester,Regular,Lights,STD,100,1,30,3.333333000000
Greece,Thessaloniki,Regular,Lights,STD,KS,5,36,13.888889000000
Spain,Reus,Regular,Full Flavor,SSL,100,1,28,3.571429000000
Dominican Republic,Punta Cana - Higuey,Regular,Full Flavor,SSL,100,4,66,6.060606000000
Spain DP,Gerona,Regular,Ultralights,STD,KS,1,41,2.439024000000
Bulgaria,Sofia,NTD Caps,Full Flavor,STD,KS,1,32,3.125000000000
Great Britain,Southampton,NTD Caps,Full Flavor,STD,KS,1,27,3.703704000000
Japan,Tokyo - Narita,NTD Caps,Full Flavor,SSL,100,1,88,1.136364000000
Morocco,Rabat,Regular,Full Flavor,SLI,100,1,72,1.388889000000
Brazil,Rio de Janeiro,Regular,Lights,STD,KS,2,46,4.347826000000
Mexico,Cancun,Menthol,Full Flavor,STD,100,1,60,1.666667000000
Panama,Panama Tocumen,Regular,Full Flavor,SSL,100,2,20,10.000000000000
Macedonia,Ohrid,NTD Caps,Full Flavor,STD,KS,2,23,8.695652000000
China,Xuzhou Guanyin,NTD Caps,Full Flavor,STD,KS,1,70,1.428571000000
Gambia,Banjul,Menthol,Full Flavor,SSL,100,1,15,6.666667000000
Turkey,Diyarbakir Airport,Menthol,Full Flavor,STD,KS,3,82,3.658537000000
China,Yancheng Nanyang,Regular,Lights,STD,KS,1,52,1.923077000000
Greece,Heraklion Airport,Regular,Full Flavor,STD,KS,19,33,57.575758000000
United Arab Emirates,Abu Dhabi,Menthol,Full Flavor,SSL,100,1,55,1.818182000000
China,Fuzhou Changle,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
France DP,Nice,Regular,Lights,STD,KS,4,28,14.285714000000
China,Taiyuan Wusu,Regular,Full Flavor,SSL,100,4,73,5.479452000000
Spain DP,Santander,Regular,Full Flavor,STD,KS,4,7,57.142857000000
Sweden,Stockholm Arlanda,Regular,Lights,STD,KS,2,14,14.285714000000
Mexico,Puerto Vallarta,Menthol,Full Flavor,STD,KS,2,40,5.000000000000
Turkey,Bodrum Airport,Regular,Full Flavor,SSL,KS,1,98,1.020408000000
Germany,Berlin Brandenburg,Regular,Lights,STD,KS,3,24,12.500000000000
Great Britain,Edinburgh,Regular,Lights,STD,100,1,30,3.333333000000
Turkey,Izmir Airport,Regular,Full Flavor,STD,LONGER THAN KS,2,103,1.941748000000
Russia,Moscow - Vnukovo,Menthol,Full Flavor,SSL,100,1,18,5.555556000000
China,Shanghai Pudong,NTD Caps,Full Flavor,SSL,100,1,71,1.408451000000
Turkey,Istanbul Asia Airport,Regular,Full Flavor,SSL,KS,1,102,0.980392000000
Turkey,Bodrum Airport,NTD Caps,Full Flavor,STD,KS,7,98,7.142857000000
Taiwan,Taichung,Regular,Full Flavor,SSL,100,1,27,3.703704000000
Sweden,Umea,Regular,Full Flavor,STD,KS,3,3,100.000000000000
South Korea,Daegu,NTD Caps,Full Flavor,SSL,100,10,80,12.500000000000
China,Xian Xianyang,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Switzerland,Zurich,Menthol,Full Flavor,STD,KS,2,68,2.941176000000
Ethiopia,Addis Ababa,Regular,Lights,STD,KS,6,74,8.108108000000
Malaysia,Johor Bahru,Regular,Lights,STD,KS,1,13,7.692308000000
Poland,Warsaw,Regular,Lights,STD,KS,4,22,18.181818000000
Colombia,Bogota,Menthol,Full Flavor,SSL,100,2,39,5.128205000000
China,Guangzhou Baiyun,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
China,Wenzhou Longwan,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Cambodia,Sihanoukville,Regular,Lights,SSL,100,1,29,3.448276000000
China,Mudanjiang Hailang,Menthol,Full Flavor,STD,LONGER THAN KS,1,71,1.408451000000
China,Jinan Xiaoqiang,Regular,Lights,STD,KS,2,73,2.739726000000
Spain DP,Valencia,Regular,Lights,STD,KS,8,42,19.047619000000
Greece,Skiathos,Menthol,Full Flavor,SSL,100,1,16,6.250000000000
China,Mudanjiang Hailang,Regular,Full Flavor,SSL,100,4,71,5.633803000000
Jordan,Amman,Menthol,Full Flavor,STD,100,2,69,2.898551000000
Turkey,Istanbul Asia Airport,Regular,Lights,SSL,100,1,102,0.980392000000
Great Britain,London Gatwick,Regular,Full Flavor,STD,100,2,31,6.451613000000
Russia,Volgograd,Regular,Lights,STD,KS,3,18,16.666667000000
Spain DP,Palma De Mallorca,Menthol,Full Flavor,STD,KS,2,48,4.166667000000
Italy,Naples,Regular,Lights,STD,100,1,19,5.263158000000
Turkey,Izmir Airport,Regular,Lights,STD,KS,8,103,7.766990000000
Malaysia,Penang,Menthol,Full Flavor,STD,KS,1,7,14.285714000000
Hong Kong,Hong Kong,Menthol,Full Flavor,STD,KS,4,42,9.523810000000
China,Beijing,Regular,Full Flavor,STD,LONGER THAN KS,1,71,1.408451000000
China,Wuxi Shuofang,Regular,Lights,STD,KS,2,73,2.739726000000
Serbia,Belgrade,Regular,Full Flavor,STD,KS,12,30,40.000000000000
Spain DP,Palma De Mallorca,Regular,Ultralights,STD,KS,1,48,2.083333000000
Georgia,Tbilisi,Regular,Lights,SSL,100,1,13,7.692308000000
Malaysia,Kota Kinabalu,Menthol,Full Flavor,STD,KS,3,11,27.272727000000
Turkey,Gaziantep Airport,Regular,Full Flavor,STD,LONGER THAN KS,2,71,2.816901000000
Turkey,Adana Airport,Regular,Full Flavor,STD,KS,22,33,66.666667000000
Senegal,Leopold Sedar Senghar,Regular,Full Flavor,STD,KS,19,30,63.333333000000
Ghana,Accra,Regular,Ultralights,STD,KS,1,37,2.702703000000
Canary Islands,Lanzarote,NTD Caps,Full Flavor,STD,KS,1,42,2.380952000000
Great Britain,Liverpool,Regular,Lights,STD,100,1,25,4.000000000000
Spain,Mahon Airport,Regular,Full Flavor,SSL,100,2,38,5.263158000000
Turkey,Antalya Gazipasa Airport,Menthol,Full Flavor,SSL,100,2,49,4.081633000000
Greece,Heraklion Airport,Regular,Full Flavor,SSL,100,5,33,15.151515000000
United Arab Emirates,Abu Dhabi,Regular,Ultralights,STD,KS,1,55,1.818182000000
Greece,Ioannina,Regular,Full Flavor,STD,KS,1,3,33.333333000000
China,Nanning Wuxu,Menthol,Full Flavor,SLI,100,1,69,1.449275000000
China,Nanning Wuxu,Regular,Lights,STD,KS,2,69,2.898551000000
France,Lyon Saint Exupery,Regular,Full Flavor,STD,KS,18,28,64.285714000000
